Training | Average loss 3.9784 kld 43.9165 kld1 39.6908 kld2 0.6919 kld3 3.5338 elem_type_num 0.0251 elem_type 0.0040 elem_num 0.0154 lattice 0.0009 coord 0.3368 elem_type_num_acc 0.9938, elem_type_acc 0.9993 elem_type_recall 0.9907 elem_num_acc 0.9944 elem_type_match 0.9613 elem_num_match 0.9789 comp_match 0.9445
Training | Average loss 3.9864 kld 42.9632 kld1 38.7212 kld2 0.6995 kld3 3.5425 elem_type_num 0.0253 elem_type 0.0040 elem_num 0.0166 lattice 0.0009 coord 0.3385 elem_type_num_acc 0.9905, elem_type_acc 0.9994 elem_type_recall 0.9914 elem_num_acc 0.9954 elem_type_match 0.9650 elem_num_match 0.9827 comp_match 0.9513
Training | Average loss 4.0244 kld 43.1206 kld1 38.8583 kld2 0.7293 kld3 3.5331 elem_type_num 0.0271 elem_type 0.0038 elem_num 0.0161 lattice 0.0009 coord 0.3428 elem_type_num_acc 0.9922, elem_type_acc 0.9994 elem_type_recall 0.9925 elem_num_acc 0.9972 elem_type_match 0.9673 elem_num_match 0.9896 comp_match 0.9596
Training | Average loss 3.9280 kld 43.3592 kld1 39.0547 kld2 0.7781 kld3 3.5263 elem_type_num 0.0306 elem_type 0.0039 elem_num 0.0150 lattice 0.0009 coord 0.3324 elem_type_num_acc 0.9928, elem_type_acc 0.9995 elem_type_recall 0.9938 elem_num_acc 0.9954 elem_type_match 0.9702 elem_num_match 0.9826 comp_match 0.9561
Training | Average loss 3.9307 kld 42.9127 kld1 38.6132 kld2 0.7791 kld3 3.5204 elem_type_num 0.0255 elem_type 0.0037 elem_num 0.0147 lattice 0.0009 coord 0.3342 elem_type_num_acc 0.9933, elem_type_acc 0.9992 elem_type_recall 0.9904 elem_num_acc 0.9959 elem_type_match 0.9594 elem_num_match 0.9849 comp_match 0.9472
Training | Average loss 3.9249 kld 42.5879 kld1 38.3641 kld2 0.7128 kld3 3.5110 elem_type_num 0.0224 elem_type 0.0037 elem_num 0.0135 lattice 0.0009 coord 0.3343 elem_type_num_acc 0.9949, elem_type_acc 0.9995 elem_type_recall 0.9943 elem_num_acc 0.9958 elem_type_match 0.9752 elem_num_match 0.9845 comp_match 0.9623
Training | Average loss 3.9174 kld 41.7296 kld1 37.4954 kld2 0.7107 kld3 3.5235 elem_type_num 0.0214 elem_type 0.0036 elem_num 0.0130 lattice 0.0009 coord 0.3348 elem_type_num_acc 0.9955, elem_type_acc 0.9996 elem_type_recall 0.9946 elem_num_acc 0.9962 elem_type_match 0.9758 elem_num_match 0.9856 comp_match 0.9635
Training | Average loss 3.8858 kld 42.2394 kld1 37.9994 kld2 0.7205 kld3 3.5195 elem_type_num 0.0213 elem_type 0.0035 elem_num 0.0144 lattice 0.0008 coord 0.3313 elem_type_num_acc 0.9934, elem_type_acc 0.9994 elem_type_recall 0.9925 elem_num_acc 0.9968 elem_type_match 0.9684 elem_num_match 0.9879 comp_match 0.9585
Training | Average loss 3.8794 kld 41.9039 kld1 37.6969 kld2 0.7022 kld3 3.5047 elem_type_num 0.0173 elem_type 0.0036 elem_num 0.0122 lattice 0.0008 coord 0.3316 elem_type_num_acc 0.9947, elem_type_acc 0.9995 elem_type_recall 0.9930 elem_num_acc 0.9972 elem_type_match 0.9720 elem_num_match 0.9895 comp_match 0.9629
Training | Average loss 3.8443 kld 41.3718 kld1 37.1538 kld2 0.7209 kld3 3.4971 elem_type_num 0.0174 elem_type 0.0034 elem_num 0.0127 lattice 0.0008 coord 0.3290 elem_type_num_acc 0.9963, elem_type_acc 0.9996 elem_type_recall 0.9946 elem_num_acc 0.9961 elem_type_match 0.9768 elem_num_match 0.9858 comp_match 0.9641
Training | Average loss 3.8968 kld 41.5889 kld1 37.3655 kld2 0.7143 kld3 3.5091 elem_type_num 0.0203 elem_type 0.0035 elem_num 0.0136 lattice 0.0008 coord 0.3334 elem_type_num_acc 0.9958, elem_type_acc 0.9996 elem_type_recall 0.9942 elem_num_acc 0.9980 elem_type_match 0.9760 elem_num_match 0.9927 comp_match 0.9702
Training | Average loss 3.8659 kld 41.8653 kld1 37.6330 kld2 0.7232 kld3 3.5091 elem_type_num 0.0230 elem_type 0.0035 elem_num 0.0132 lattice 0.0009 coord 0.3298 elem_type_num_acc 0.9950, elem_type_acc 0.9996 elem_type_recall 0.9958 elem_num_acc 0.9966 elem_type_match 0.9797 elem_num_match 0.9871 comp_match 0.9697
Training | Average loss 3.8728 kld 41.1933 kld1 36.9841 kld2 0.7035 kld3 3.5057 elem_type_num 0.0181 elem_type 0.0033 elem_num 0.0125 lattice 0.0008 coord 0.3322 elem_type_num_acc 0.9924, elem_type_acc 0.9995 elem_type_recall 0.9935 elem_num_acc 0.9970 elem_type_match 0.9723 elem_num_match 0.9889 comp_match 0.9636
Training | Average loss 3.8667 kld 41.1599 kld1 37.0089 kld2 0.6454 kld3 3.5056 elem_type_num 0.0208 elem_type 0.0033 elem_num 0.0134 lattice 0.0008 coord 0.3313 elem_type_num_acc 0.9966, elem_type_acc 0.9996 elem_type_recall 0.9945 elem_num_acc 0.9959 elem_type_match 0.9766 elem_num_match 0.9845 comp_match 0.9637
Training | Average loss 3.8970 kld 40.8463 kld1 36.6932 kld2 0.6468 kld3 3.5064 elem_type_num 0.0196 elem_type 0.0033 elem_num 0.0117 lattice 0.0008 coord 0.3352 elem_type_num_acc 0.9953, elem_type_acc 0.9995 elem_type_recall 0.9936 elem_num_acc 0.9966 elem_type_match 0.9731 elem_num_match 0.9878 comp_match 0.9631
Training | Average loss 3.8423 kld 40.7817 kld1 36.5996 kld2 0.6870 kld3 3.4951 elem_type_num 0.0192 elem_type 0.0032 elem_num 0.0127 lattice 0.0008 coord 0.3297 elem_type_num_acc 0.9956, elem_type_acc 0.9996 elem_type_recall 0.9938 elem_num_acc 0.9964 elem_type_match 0.9756 elem_num_match 0.9868 comp_match 0.9638
